CODUSUARIO,PERIODO,CODCUENTA,CODCENTCOS,TABSUBCUEN,CODSUBCUEN,TABINCISO,CODINCISO,FECHCONTA,NROCONTA,NROPROVIS,LEYENDA,NROCHEQUE,NROCENTEMI,NROCOMPROB,DEBE,HABER,CODACTIVID,CODPRODUCT,NOMCUENTA,NOMSUBCUEN,NOMINCISO
300,201607,1020,1,1020    ,1,        ,0,2016-07-04,0,182,JUAN                     ,1580      ,0,2176,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,154,MAPFRE                   ,          ,0,0,0.00,159.41,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,155,MAPFRE                   ,          ,0,0,0.00,1299.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,156,MAPFRE                   ,          ,0,0,0.00,1341.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,157,ZURICH                   ,          ,0,0,0.00,1797.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,158,CREA                     ,          ,0,0,0.00,2685.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,159,ZURICH                   ,          ,0,0,0.00,4933.08,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,9,UATRE JUNIO2016          ,1574      ,0,2171,0.00,1994.27,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,10,YPF GAS                  ,1509      ,0,2156,0.00,3415.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,8,C SOC JUNIO2016          ,1568      ,0,2165,0.00,72824.48,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,28,J CASADO FC 50           ,1591      ,0,2185,0.00,6925.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,29,C BERTHE FC 1009         ,1592      ,0,2186,0.00,1197.82,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-05,0,30,COR ENV FSALDO FC 72     ,4413      ,0,2039,0.00,6765.98,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-06,0,4,FRIBOLOBOS FC 1073       ,          ,0,0,442698.22,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-07,0,72,S CROCE EXP JUNIO        ,1652      ,0,2223,0.00,2016.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-07,0,160,MAPFRE                   ,          ,0,0,0.00,715.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-10,0,1,E HARRISON FC 1464       ,1497      ,0,2149,0.00,28702.40,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-10,0,2,J PEREYRA FC 1002        ,1482      ,0,2134,0.00,34109.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-10,0,3,A SHOEDER FC 10871       ,1470      ,0,2122,0.00,25047.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,13,JUAN SEMANAL             ,1581      ,0,2177,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,31,J POGGI FC 1133          ,1508      ,0,2201,0.00,5873.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,32,AFIP ANT GAN 8           ,1600      ,0,2194,0.00,38511.11,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,33,AFIP CUOTA3 BPS          ,1599      ,0,2193,0.00,21567.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,34,ARBA CUOTA 2/2016        ,1805      ,0,2198,0.00,60805.10,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,35,AFIP RET GAN CRESPO      ,1601      ,0,2195,0.00,36159.13,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,36,EL INDIO PREST           ,          ,0,0,300000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,43,JUAN SEMANAL             ,1619      ,0,2211,0.00,1000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,58,CECT FC 1372             ,1603      ,0,2196,0.00,339.52,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,71,OSDE                     ,1607      ,0,2200,0.00,3363.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,65,SERVICOOP FC 2192        ,1598      ,0,2192,0.00,1140.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,66,OSDE 6/2016              ,1606      ,0,2199,0.00,4736.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,166,BRISON EXP JUNIO R PEÑA  ,          ,0,0,0.00,5362.67,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,161,BG VISA BUSS             ,          ,0,0,0.00,1105.58,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,136,VISA BUSS VEC 11/07      ,          ,0,0,0.00,69485.03,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-11,0,140,A MONDINO FC 36933/36932 ,          ,0,0,0.00,477739.94,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-12,0,62,IND 9  DE JULIO FC 446   ,1645      ,0,2234,0.00,5571.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-12,0,60,AFIP                     ,1643      ,0,2232,0.00,1182.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-12,0,41,BOTIJA FC 259 ALQ JULIO  ,1594      ,0,2188,0.00,3146.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-13,0,7,VELASQUEZ FC 410         ,1481      ,0,2133,0.00,17659.95,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-14,0,70,MAPFRE                   ,1614      ,0,2206,0.00,250.23,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-15,0,16,A BETBEDER FC 31         ,1569      ,0,2166,0.00,6085.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-15,0,18,RUMINARE FC 274          ,1575      ,0,2172,0.00,37606.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-15,0,55,MAS FERRET FC 197/4948   ,1640      ,0,2230,0.00,2713.79,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-15,0,165,PA PRIETO FC 2145/2182   ,1472      ,0,2124,0.00,36002.34,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-15,0,163,OSDE                     ,          ,0,0,0.00,10137.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-15,0,164,REINT OSDE               ,          ,0,0,3262.99,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-18,0,42,JUAN SOJA                ,1620      ,0,2212,0.00,9967.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-20,0,19,JUCARFE FC 38/39         ,1589      ,0,2173,0.00,73604.50,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-20,0,14,ATSA VAC AFTOSA          ,5677      ,0,1969,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-22,0,15,L ZABAL A SILO           ,5674      ,0,1965,0.00,18784.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-22,0,25,EL CUYANO FC 52          ,1583      ,0,2179,0.00,16862.56,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-22,0,88,DJ IVA A JUNIO2016       ,1621      ,0,2213,0.00,50042.72,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,69,L ZABALA FC MAYO16       ,1611      ,0,2204,0.00,23711.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,63,C ACOP FC 21955          ,1596      ,0,2190,0.00,1769.02,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,24,AS FC JUNIO16            ,1582      ,0,2178,0.00,23208.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,27,CARDOZO GUIDO FC 94      ,1585      ,0,2181,0.00,15463.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,149,BG PREST EL INDIO        ,          ,0,0,400000.00,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,131,HG JULIO                 ,1630      ,0,2221,0.00,20000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,132,JAIME                    ,1627      ,0,2219,0.00,6800.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,133,SDOS JULIO               ,1625      ,0,2217,0.00,20421.17,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-25,0,134,BPP                      ,1644      ,0,2233,0.00,60000.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-26,0,169,EG                       ,          ,0,0,0.00,7473.68,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-26,0,26,EL CUYANO FC 3/52        ,1584      ,0,2180,0.00,16850.46,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-26,0,47,ZUBIRI                   ,          ,0,0,453267.25,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-27,0,67,L DEL RIO FC MAYO16      ,1609      ,0,2202,0.00,10866.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-27,0,68,DIEGO HNOS FC 20388/73/46,1610      ,0,2203,0.00,13172.14,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-27,0,168,BG IMP CRED              ,          ,0,0,0.00,15843.24,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-28,0,73,CORRAL FC 1543           ,1634      ,0,2225,0.00,5416.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-28,0,6,CORD ENV FC 98           ,4471      ,0,2109,0.00,3263.80,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-29,0,76,OLEAG MORENO SOJA        ,          ,0,0,83863.42,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-29,0,167,BG IMP DEB               ,          ,0,0,0.00,8532.69,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-29,0,151,CRESPO                   ,          ,0,0,952872.90,0.00,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-30,0,74,EL SULKY FC 16           ,1635      ,0,2226,0.00,16244.25,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,1,        ,0,2016-07-30,0,57,AZCURRA HERNAN FC 733    ,1637      ,0,2228,0.00,34263.84,0                             ,0                             ,BANCOS                        ,BANCO DE GALICIA              ,                              
300,201607,1020,1,1020    ,3,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,4746.67,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
300,201607,1020,1,1020    ,3,        ,0,2016-07-28,0,170,BPCC IMP DEB             ,          ,0,0,0.00,1.56,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
300,201607,1020,1,1020    ,3,        ,0,2016-07-28,0,171,BPCC IMP CRED            ,          ,0,0,0.00,6.18,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
300,201607,1020,1,1020    ,3,        ,0,2016-07-28,0,183,BPCC GB                  ,          ,0,0,0.00,260.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
300,201607,1020,1,1020    ,3,        ,0,2016-07-29,0,104,OLEA IVA                 ,          ,0,0,542.60,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
300,201607,1020,1,1020    ,3,        ,0,2016-07-29,0,105,OLEAG IVA                ,          ,0,0,164.72,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
300,201607,1020,1,1020    ,3,        ,0,2016-07-29,0,106,OLEAG IVA                ,          ,0,0,322.70,0.00,0                             ,0                             ,BANCOS                        ,PROVINCIA BUENOS AIRES CC     ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,25263.38,0.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-21,0,130,CESAR ACOSTA FC 6        ,1596      ,0,1972,0.00,2800.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-25,0,134,BPP                      ,          ,0,0,60000.00,0.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-27,0,175,BPP GB                   ,          ,0,0,0.00,440.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-28,0,174,BPP IMP CRED             ,          ,0,0,0.00,360.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-28,0,173,BG IMP  DEB              ,          ,0,0,0.00,29.71,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-29,0,49,HOARE SDO JULIO16        ,8685      ,0,1687,0.00,8724.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-29,0,50,RAMIREZ JULIO16          ,8686      ,0,1688,0.00,19204.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-29,0,51,LAZARO SDO JULIO16       ,8687      ,0,1689,0.00,9509.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-29,0,52,RAUL GARCIA SDO JULIO16  ,8689      ,0,1691,0.00,8487.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-29,0,53,H PEREZ SDO JULIO 16     ,8688      ,0,1690,0.00,8302.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,5,        ,0,2016-07-29,0,54,E ACUÑA JULIO16          ,8690      ,0,1692,0.00,3000.00,0                             ,0                             ,BANCOS                        ,BCO. PCIA. - DEL PASTEUR      ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,3923.33,0.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-06,0,179,INT PROCAMPO             ,          ,0,0,0.00,1973.20,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-06,0,180,BPC GB                   ,          ,0,0,0.00,23.60,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-20,0,146,BPC VISA COR             ,          ,0,0,0.00,13073.69,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-25,0,138,BPC                      ,          ,0,0,100.00,0.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-28,0,181,BPC  INT                 ,          ,0,0,0.00,1.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-28,0,178,BPC GB                   ,          ,0,0,0.00,260.00,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-28,0,177,BPC IMP DEB              ,          ,0,0,0.00,24.89,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1020,1,1020    ,8,        ,0,2016-07-28,0,176,BPC IM CRED              ,          ,0,0,0.00,0.60,0                             ,0                             ,BANCOS                        ,BCO PCIA CUENCA               ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,91,OLEAG ND 627             ,          ,0,0,4641.00,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,92,BRESUR ND 622 SELLADO    ,          ,0,0,0.00,7769.63,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,93,BRESUR ND 622            ,          ,0,0,7769.53,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,94,BRESUR ND 621 SELLADO    ,          ,0,0,0.00,285.04,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,95,BRESUR ND 621 SELLADO    ,          ,0,0,285.04,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,96,BRESUR ND 620 SELLADO    ,          ,0,0,0.00,236.70,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,97,BRESUR ND 620 SELLADO    ,          ,0,0,236.70,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,98,BRESUR ND 618 SELLADOS   ,          ,0,0,0.00,4627.19,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,99,BRESUR ND 618            ,          ,0,0,4627.19,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-18,0,90,BRESUR SELLADO ND 627    ,          ,0,0,0.00,4641.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-29,0,100,OLEAG IMP GAN CERT640    ,          ,0,0,0.00,1846.25,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,100,        ,0,2016-07-29,0,101,BRESUR RET GAN 640       ,          ,0,0,1846.25,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,BRESUR CEREALES S.A           ,                              
300,201607,1050,1,1050    ,104,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,0.00,164.81,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,SIGRA VILLEGAS SACI Y A       ,                              
300,201607,1050,1,1050    ,114,        ,0,2016-07-01,0,185,ASIENTO DE APERTURA      ,          ,0,0,108638.31,0.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,OLEAGINOSA MORENO HNOS SACIFI ,                              
300,201607,1050,1,1050    ,114,        ,0,2016-07-18,0,91,OLEAG ND 627             ,          ,0,0,0.00,4641.00,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,OLEAGINOSA MORENO HNOS SACIFI ,                              
300,201607,1050,1,1050    ,114,        ,0,2016-07-18,0,99,BRESUR ND 618            ,          ,0,0,0.00,4627.19,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,OLEAGINOSA MORENO HNOS SACIFI ,                              
300,201607,1050,1,1050    ,114,        ,0,2016-07-18,0,97,BRESUR ND 620 SELLADO    ,          ,0,0,0.00,236.70,0                             ,0                             ,DEUDORES POR VENTAS CEREAL    ,OLEAGINOSA MORENO HNOS SACIFI ,                              
